Ticker,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,30 Day Return,90 Day Return,Correlation with SPY
CASH,0.27469718465063253,0.41185487550828687,0.6669756775651072,-0.6490066590956121,-0.07541686928875035,0.14515211374383186,0.4782190415090298
CASY,0.19444012345664605,0.27246150492857624,0.7136425511105398,-0.33408825006810366,-0.012879939447873245,0.07204960168130481,0.4495532704755659
CBSH,0.11766311886407362,0.26343479264981445,0.4466498812876397,-0.4116087421929693,-0.08246816895919895,0.05857216570813173,0.6237050889225855
CCOI,0.1751125859290663,0.31156392601144606,0.562043841759245,-0.39335120193780726,-0.01768031741974896,0.07774204024183073,0.43401653446347427
CCRN,0.19990928284266843,0.5779396627634318,0.34589991952931143,-0.7425196637138968,0.8511721784535524,0.2532781321093658,0.3150816238620851
CDXS,0.2802698266210525,0.6730413157593925,0.4164229149956776,-0.9640976533311129,0.22938140212241698,0.6448275255391507,0.3713574626926547
CDZI,0.10270064303036135,0.5947699121024422,0.17267289575447178,-0.9015673936535037,0.5662650342845206,0.6720257185426415,0.20366942334654822
CECO,0.20021297916166764,0.4987192290465114,0.4014543003373857,-0.7413276968524396,0.11139701082013609,0.1000727818708036,0.39833475364692084
CELH,0.775326136067461,0.7382964019636451,1.0501556475222256,-0.7330142577831966,0.026500401762253434,-0.33028225460721905,0.29479768597435235
CENT,0.23842519104307605,0.36578288682891497,0.6518216122959108,-0.49710725920600896,0.05092094153180571,0.004140782865927672,0.3626132123618274
CENX,0.2474442966902118,0.7433464285782092,0.3328788397672077,-0.8957169492538006,-0.1945181857927829,0.2940340491535123,0.4236434364176656
CEVA,0.16370152239744887,0.46573130085924574,0.3514934944149761,-0.782350573095076,0.16808585596841574,0.32008367115617165,0.529068798202054
CHEF,0.2644245896158061,0.6009981770046965,0.43997569332683645,-0.9126213631561175,0.20322024091873625,0.23609017064411786,0.4403767433207853
CHY,0.11162408814356026,0.23328953327347338,0.4784787666093406,-0.5040727271911076,0.03266438701204688,0.10112574929330109,0.635213799862248
CIBR,0.15355881398383084,0.23057331727172847,0.6659869225148165,-0.3388778973909332,0.03417544006661233,0.08617424715116084,0.7962667321030894
CLDX,0.0999998927346391,0.8163991761313414,0.12248896821345057,-0.9967484793106254,0.07303614761890809,-0.2837301209717531,0.22631662291388144
CLNE,0.18636170105079997,0.7290893482774855,0.2556088653483828,-0.8948393383859191,-0.05283022636448742,-0.18241040878070014,0.4140745042222482
CME,0.1666476702743258,0.24039187368468168,0.6932333764864074,-0.37356087500160245,0.06156597079722381,0.14685320293595372,0.5278963358746669
CMPR,0.13521609121804354,0.5310897989379507,0.25460118324329056,-0.8873510844619924,-0.0733850154160095,-0.207951421274846,0.4900089009211676
CNOB,0.10833400475659154,0.36962536690942527,0.2930913688700868,-0.6852082676867722,-0.15430040146063417,-0.021201003777676086,0.5150970786851906
CNVS,0.1445203914180385,1.2076877275157478,0.11966701997984325,-0.9978488371815792,0.1406250128056854,3.3452383444355274,0.14410861987377566
CPRX,0.43280221054139034,0.6719824126606994,0.6440677648507491,-0.9024390200846477,0.013106818095330874,0.006268132572319063,0.3343084266675192
CROX,0.368827703626591,0.5524452826689854,0.6676275736208711,-0.751843316149617,0.12016772496102601,-0.22898774699668445,0.4705694811005525
CRSP,0.3317055441680144,0.6462468182940841,0.513279964833911,-0.816130260110637,-0.1669841140666336,-0.17136840820312504,0.3892731401544247
CSQ,0.15433623275500385,0.22693373916657975,0.6800938164673433,-0.48206580399661003,0.01545537062894664,0.08517270602512483,0.838938674334248
CSTE,-0.1412324133615768,0.4772677844188594,-0.29591859742544135,-0.946264009476827,0.04166668614530922,-0.07608693736712702,0.32983860267305115
CTAS,0.2686685378781896,0.26216070501860783,1.024823830326211,-0.4837968883721122,-0.15102227456798922,-0.0669409438829951,0.7168666016951147
CTLP,0.36911571433006696,0.6030238854189061,0.612107950041898,-0.8267477341974723,0.0905963231262843,0.39647581626854955,0.3090030032367437
CVGW,0.03249849956270884,0.3913306672663285,0.08304613535588634,-0.7890221872114294,-0.05625467726804523,0.08945734670190797,0.2556237367516469
CWST,0.3747053696949509,0.3144626322193242,1.191573596679716,-0.34960088590670746,-0.006945147554848652,0.0053206418868765315,0.46804657491899415
DCOM,0.11423218731336914,0.3598975377692341,0.31740196952004346,-0.5738993015751588,-0.08783378898338212,0.33565107475328526,0.5251756896275305
DGII,0.213184871741797,0.43441730470685497,0.4907375222671074,-0.6573875807917335,-0.03756766351188001,0.06219256903382542,0.46377310947359607
